Time,BS_ID,BS_LOC_X,BS_LOC_Y,ANT_ID,ANT_SEC,TRX_ID,TRX_X,TRX_Y,TRX_ANG,UE_ID,UE_LOC_X,UE_LOC_Y,MAX_DR,DEMAND_DR,REAL_DR,BS_Tran_SNR,UE_Rec_SNR
1,1,8.66025,5,1,120,99,8.2001,5.02301,0,60,7.6736,8.89195,122,54,54,1.34985e-14,4.04956e-14
1,1,8.66025,5,1,120,98,8.87041,5.41001,0,61,6.19296,5.86429,146,88,88,4.33315e-14,1.29994e-13
1,1,8.66025,5,1,120,97,8.20681,5.02688,0,62,4.93015,5.29823,126,66,66,1.62555e-14,4.87666e-14
1,1,8.66025,5,1,120,96,8.8637,5.40614,0,63,8.90473,7.20832,154,65,65,6.59176e-14,1.97753e-13
1,1,8.66025,5,1,120,95,8.21351,5.03075,0,64,7.89041,5.92051,160,87,87,2.06995e-13,6.20984e-13
1,1,8.66025,5,1,120,94,8.857,5.40227,0,65,9.14071,6.31853,160,33,33,1.66619e-13,4.99857e-13
1,1,8.66025,5,1,120,93,8.22021,5.03462,0,66,7.77613,5.81138,160,44,44,2.06995e-13,6.20984e-13
1,1,8.66025,5,1,120,92,8.8503,5.3984,0,67,5.35712,8.00594,115,25,25,1.03193e-14,3.0958e-14
1,1,8.66025,5,1,120,91,8.22691,5.03849,0,68,7.18757,6.03213,159,12,12,1.06564e-13,3.19693e-13
1,1,8.66025,5,1,120,90,8.84359,5.39453,0,69,5.90211,7.616,125,124,124,1.55864e-14,4.67593e-14
1,1,8.66025,5,1,120,89,8.23362,5.04236,0,70,8.21679,6.33272,160,117,117,1.66394e-13,4.99182e-13
1,1,8.66025,5,1,120,88,8.83689,5.39066,0,71,8.20657,6.11093,160,9,9,2.06995e-13,6.20984e-13
1,1,8.66025,5,1,120,87,8.24032,5.04623,0,72,7.87593,6.7765,158,75,75,9.03949e-14,2.71185e-13
1,1,8.66025,5,1,120,86,8.83019,5.38679,0,73,7.83959,6.07802,160,75,75,1.7568e-13,5.2704e-13
